,trading_volume,volume_weighted,open_price,close_price,highest_price,lowest_price,timestamp,transactions,Symbol,price_range,volatility,price_change_percentage
0,119605127.0,233.6043,234.45,230.76,236.85,227.76,1729396800000,1743438,AAPL,9.090000000000003,3.6899999999999977,-1.5738963531669856
1,358320463.0,230.2414,224.5,235.0,237.49,221.33,1728187200000,5563002,AAPL,16.159999999999997,10.5,4.67706013363029
2,411269719.0,227.1824,227.34,226.8,233.0,223.02,1726977600000,5835500,AAPL,9.97999999999999,0.539999999999992,-0.23752969121139791
3,737776128.0,223.873,220.82,228.2,233.09,213.92,1725768000000,7473637,AAPL,19.170000000000016,7.3799999999999955,3.3420885789330654
4,374000504.0,225.6062,226.76,220.82,232.92,217.48,1724558400000,5682718,AAPL,15.439999999999998,5.939999999999998,-2.6195096136884803
5,385547097.0,223.9063,216.07,226.84,228.34,215.6,1723348800000,5630089,AAPL,12.740000000000009,10.77000000000001,4.984495765261262
6,623287104.0,214.677,216.96,216.24,225.6,196.0,1722139200000,8409472,AAPL,29.599999999999994,0.7199999999999989,-0.3318584070796455
7,500071273.0,225.3807,236.48,217.96,237.23,214.62,1720929600000,7133430,AAPL,22.609999999999985,18.519999999999982,-7.831529093369411
8,492928932.0,225.2106,212.09,230.54,233.08,211.92,1719720000000,6627665,AAPL,21.160000000000025,18.44999999999999,8.699137158753354
9,784040895.0,211.6307,213.37,210.62,218.95,206.59,1718510400000,7522187,AAPL,12.359999999999985,2.75,-1.288840980456484
10,867967138.0,204.6838,192.9,212.49,220.2,192.15,1717300800000,9384731,AAPL,28.049999999999983,19.590000000000003,10.155520995334372
11,425430077.0,190.8873,189.325,192.25,193.0,186.625,1716091200000,5081248,AAPL,6.375,2.9250000000000114,1.5449623663013399
12,568262566.0,185.5572,182.354,189.87,191.095,180.42,1714881600000,6332861,AAPL,10.675000000000011,7.515999999999991,4.121653487173295
13,665050835.0,174.1336,165.515,183.38,187.0,164.77,1713672000000,7439325,AAPL,22.22999999999999,17.86500000000001,10.793583663112111
14,619544527.0,170.8557,169.03,165.0,178.36,164.075,1712462400000,7115636,AAPL,14.285000000000025,4.030000000000001,-2.3841921552387157
15,476629240.0,170.4982,170.565,169.58,173.6,168.2302,1711252800000,5759311,AAPL,5.369799999999998,0.9849999999999852,-0.5774924515580484
16,728680203.0,173.292,172.94,172.28,178.67,170.06,1710046800000,7858708,AAPL,8.609999999999985,0.6599999999999966,-0.38163524921938047
17,747070105.0,175.6823,182.24,170.73,183.9225,168.49,1708837200000,8528883,AAPL,15.432500000000005,11.51000000000002,-6.315847234416165
18,460398034.0,183.4727,188.415,182.52,188.67,180.0,1707627600000,5674424,AAPL,8.669999999999987,5.894999999999982,-3.1287317888703035
19,578564779.0,187.4668,192.01,188.85,192.2,179.25,1706418000000,6897343,AAPL,12.949999999999989,3.1599999999999966,-1.6457476173115968
20,514532808.0,190.3082,182.16,192.42,196.38,180.3,1705208400000,5856414,AAPL,16.079999999999984,10.259999999999991,5.632411067193671
21,512414542.0,184.1946,187.15,185.92,188.44,180.17,1703998800000,5883938,AAPL,8.27000000000001,1.2300000000000182,-0.6572268234036966
22,386069883.0,194.4856,196.09,192.53,197.68,191.09,1702789200000,4731319,AAPL,6.590000000000003,3.5600000000000023,-1.815492885919732
23,630135647.0,194.969,189.98,197.57,199.62,187.4511,1701579600000,6005388,AAPL,12.168900000000008,7.590000000000003,3.9951573849878956
24,364628805.0,190.4063,189.89,191.24,192.93,188.19,1700370000000,4266705,AAPL,4.740000000000009,1.3500000000000227,0.7109379114224145
25,566016535.0,184.864,176.38,189.69,190.96,176.21,1699156800000,5865647,AAPL,14.75,13.310000000000002,7.546207052953852
26,595977541.0,171.9427,170.91,176.65,177.78,165.67,1697947200000,6639590,AAPL,12.110000000000014,5.740000000000009,3.358492773974612
27,529978240.0,177.5904,176.81,172.88,182.34,172.64,1696737600000,5620697,AAPL,9.700000000000017,3.930000000000007,-2.222724958995536
28,546350322.0,172.8806,174.2,177.49,177.99,167.62,1695528000000,5938038,AAPL,10.370000000000005,3.2900000000000205,1.8886337543054081
29,699801186.0,176.315,180.07,174.79,180.3,173.58,1694318400000,6959361,AAPL,6.719999999999999,5.280000000000001,-2.9321930360415402
30,568601706.0,183.1299,180.09,178.18,189.98,173.54,1693108800000,6278573,AAPL,16.439999999999998,1.9099999999999966,-1.0605808207007588
31,506484555.0,176.993,177.97,178.61,181.55,171.96,1691899200000,5684181,AAPL,9.590000000000003,0.6400000000000148,0.35961117042198953
32,633595560.0,184.0933,196.06,177.79,196.73,176.55,1690689600000,7494060,AAPL,20.17999999999998,18.27000000000001,-9.318575946138942
33,535592778.0,194.0502,191.9,195.83,198.23,191.23,1689480000000,5707581,AAPL,7.0,3.930000000000007,2.0479416362688934
34,420522160.0,190.2426,193.78,190.69,193.88,186.6,1688270400000,5109866,AAPL,7.280000000000001,3.0900000000000034,-1.594591805139851
35,485125183.0,187.8757,184.41,193.97,194.48,182.5901,1687060800000,5156388,AAPL,11.889899999999983,9.560000000000002,5.184100645301233
36,681261784.0,182.3503,182.63,184.92,186.99,177.32,1685851200000,6864523,AAPL,9.670000000000016,2.289999999999992,1.2539013305590496
37,535239987.0,176.1966,173.98,180.95,181.78,170.52,1684641600000,5180492,AAPL,11.259999999999991,6.969999999999999,4.006207610070122
